gesture,sample_id,timestamp,aX,aY,aZ,gX,gY,gZ,temp
idle,1767714402980,365,0.077,0.010,0.929,18.489,2.824,0.573,23.17
idle,1767714402980,380,0.079,0.009,0.932,18.489,3.176,0.550,23.12
idle,1767714402980,396,0.080,0.012,0.931,18.473,2.931,0.580,23.07
idle,1767714402980,411,0.068,0.004,0.918,18.427,2.969,0.771,23.12
idle,1767714402980,427,0.079,0.012,0.930,18.351,3.053,0.565,23.17
idle,1767714402980,442,0.066,0.010,0.926,18.573,3.076,0.641,23.12
idle,1767714402980,457,0.075,0.008,0.930,18.595,3.122,0.824,23.07
idle,1767714402980,473,0.071,0.011,0.924,18.519,2.931,0.748,23.21
idle,1767714402980,488,0.070,0.004,0.928,18.626,3.076,0.733,23.17
idle,1767714402980,504,0.073,0.009,0.922,18.679,2.916,0.534,23.21
idle,1767714402980,520,0.070,0.012,0.925,18.511,3.008,0.771,23.17
idle,1767714402980,535,0.073,0.014,0.929,18.580,2.901,0.557,23.12
idle,1767714402980,550,0.076,0.011,0.927,18.473,2.847,0.489,23.17
idle,1767714402980,566,0.069,0.009,0.932,18.420,3.153,0.618,23.02
idle,1767714402980,581,0.074,0.013,0.929,18.611,3.038,0.504,23.17
idle,1767714402980,596,0.078,0.006,0.938,18.542,2.992,0.511,23.21
idle,1767714402980,612,0.075,0.006,0.937,18.489,2.992,0.695,23.17
idle,1767714402980,628,0.067,0.011,0.929,18.481,2.954,0.687,23.12
idle,1767714402980,644,0.075,0.007,0.927,18.405,3.069,0.794,23.17
idle,1767714402980,659,0.074,0.013,0.929,18.511,2.893,0.504,23.17
idle,1767714402980,674,0.074,0.010,0.925,18.557,3.031,0.634,23.07
idle,1767714402980,690,0.069,0.006,0.929,18.534,2.947,0.718,23.21
idle,1767714402980,705,0.073,0.009,0.929,18.511,2.977,0.695,23.07
idle,1767714402980,720,0.072,0.008,0.926,18.458,3.038,0.580,23.12
idle,1767714402980,736,0.077,0.010,0.929,18.573,2.985,0.618,23.12
idle,1767714402980,751,0.077,0.009,0.926,18.420,2.855,0.527,23.17
idle,1767714402980,768,0.079,0.008,0.933,18.573,2.901,0.687,23.21
idle,1767714402980,783,0.071,0.004,0.922,18.504,3.130,0.618,23.17
idle,1767714402980,798,0.074,0.012,0.936,18.427,3.053,0.519,23.12
idle,1767714402980,814,0.078,0.011,0.933,18.611,2.908,0.527,23.07
idle,1767714402980,829,0.071,0.006,0.923,18.450,3.023,0.634,23.12
idle,1767714402980,844,0.074,0.006,0.924,18.588,2.863,0.527,23.26
idle,1767714402980,860,0.071,0.010,0.931,18.664,3.145,0.611,23.12
idle,1767714402980,875,0.074,0.010,0.926,18.473,3.115,0.489,23.07
idle,1767714402980,891,0.071,0.011,0.930,18.588,2.924,0.672,23.21
idle,1767714402980,907,0.071,0.013,0.921,18.290,3.115,0.534,23.17
idle,1767714402980,922,0.078,0.005,0.927,18.557,3.000,0.641,23.21
idle,1767714402980,937,0.076,0.012,0.926,18.550,2.969,0.595,23.07
idle,1767714402980,953,0.079,0.007,0.928,18.466,2.924,0.504,23.12
idle,1767714402980,968,0.077,0.011,0.931,18.603,3.023,0.664,23.17
idle,1767714402980,984,0.081,0.011,0.927,18.763,2.992,0.634,23.12
idle,1767714402980,999,0.080,0.008,0.938,18.656,2.817,0.534,23.17
idle,1767714402980,1014,0.075,0.015,0.928,18.725,2.870,0.489,23.21
idle,1767714402980,1031,0.074,0.008,0.930,18.504,3.008,0.679,23.17
idle,1767714402980,1046,0.077,0.015,0.932,18.397,2.985,0.679,23.07
idle,1767714402980,1061,0.071,0.006,0.929,18.649,3.061,0.656,23.12
idle,1767714402980,1077,0.076,0.010,0.925,18.504,2.931,0.740,23.17
idle,1767714402980,1092,0.077,0.013,0.939,18.397,3.092,0.626,23.07
idle,1767714402980,1107,0.080,0.007,0.934,18.397,2.985,0.618,23.21
idle,1767714402980,1124,0.076,0.011,0.930,18.534,2.748,0.641,23.17
idle,1767714402980,1139,0.071,0.010,0.921,18.496,3.122,0.664,23.07
idle,1767714402980,1155,0.071,0.011,0.922,18.496,3.061,0.725,23.21
idle,1767714402980,1170,0.078,0.004,0.932,18.519,2.794,0.626,23.17
idle,1767714402980,1185,0.073,0.009,0.931,18.511,3.015,0.695,23.17
idle,1767714402980,1202,0.076,0.015,0.930,18.412,2.924,0.733,23.12
idle,1767714402980,1217,0.079,0.014,0.933,18.626,2.947,0.710,23.21
idle,1767714402980,1232,0.074,0.012,0.942,18.466,3.115,0.725,23.17
idle,1767714402980,1248,0.076,0.008,0.925,18.382,3.008,0.588,23.17
idle,1767714402980,1263,0.078,0.009,0.921,18.466,3.084,0.481,23.12
idle,1767714402980,1278,0.072,0.010,0.924,18.397,3.076,0.527,23.21
idle,1767714402980,1295,0.073,0.010,0.935,18.557,2.893,0.649,23.17
idle,1767714402980,1310,0.075,0.009,0.938,18.511,3.053,0.649,23.21
idle,1767714402980,1326,0.075,0.013,0.934,18.557,3.099,0.626,23.17
idle,1767714402980,1341,0.070,0.009,0.921,18.511,2.916,0.580,23.17
idle,1767714402980,1356,0.076,0.011,0.931,18.550,3.000,0.603,23.17
idle,1767714402980,1372,0.076,0.012,0.937,18.534,2.893,0.771,23.21
idle,1767714402980,1388,0.077,0.011,0.929,18.557,2.908,0.511,23.17
idle,1767714402980,1403,0.069,0.009,0.936,18.580,2.939,0.672,23.17
idle,1767714402980,1419,0.076,0.009,0.927,18.481,2.992,0.603,23.21
idle,1767714402980,1434,0.071,0.009,0.922,18.580,3.130,0.626,23.26
idle,1767714402980,1449,0.078,0.011,0.931,18.351,2.992,0.626,23.26
idle,1767714402980,1465,0.072,0.008,0.925,18.481,2.863,0.710,23.12
idle,1767714402980,1481,0.075,0.012,0.927,18.534,3.000,0.855,23.12
idle,1767714402980,1497,0.072,0.014,0.928,18.473,3.237,0.656,23.26
idle,1767714402980,1512,0.074,0.003,0.935,18.580,3.038,0.641,23.21
idle,1767714402980,1527,0.071,0.010,0.932,18.542,2.901,0.641,23.12
idle,1767714402980,1543,0.075,0.006,0.928,18.595,2.992,0.550,23.17
idle,1767714402980,1558,0.075,0.008,0.923,18.496,2.947,0.611,23.26
idle,1767714402980,1574,0.075,0.009,0.928,18.473,3.107,0.466,23.21
idle,1767714402980,1590,0.074,0.003,0.930,18.679,3.008,0.679,23.26
idle,1767714402980,1605,0.073,0.012,0.929,18.557,2.985,0.649,23.12
idle,1767714402980,1620,0.076,0.012,0.940,18.328,3.115,0.527,23.21
idle,1767714402980,1636,0.076,0.009,0.927,18.595,2.939,0.580,23.17
idle,1767714402980,1651,0.072,0.012,0.930,18.550,2.977,0.542,23.26
idle,1767714402980,1668,0.068,0.006,0.926,18.519,2.824,0.664,23.21
idle,1767714402980,1683,0.074,0.012,0.925,18.618,2.992,0.565,23.12
idle,1767714402980,1698,0.073,0.012,0.922,18.641,3.015,0.618,23.17
idle,1767714402980,1714,0.078,0.006,0.919,18.626,3.076,0.573,23.21
idle,1767714402980,1729,0.078,0.007,0.933,18.550,2.916,0.634,23.17
idle,1767714402980,1744,0.072,0.013,0.928,18.473,3.130,0.542,23.26
idle,1767714402980,1761,0.074,0.007,0.932,18.794,3.176,0.618,23.17
idle,1767714402980,1776,0.077,0.019,0.938,18.603,2.939,0.710,23.21
idle,1767714402980,1792,0.076,0.014,0.938,18.405,2.962,0.710,23.21
idle,1767714402980,1807,0.070,0.013,0.922,18.573,3.008,0.702,23.17
idle,1767714402980,1822,0.068,0.007,0.926,18.420,2.947,0.557,23.21
idle,1767714402980,1838,0.075,0.016,0.929,18.435,3.099,0.794,23.26
idle,1767714402980,1854,0.074,0.007,0.926,18.504,2.870,0.626,23.17
idle,1767714402980,1869,0.070,0.012,0.928,18.435,2.763,0.710,23.21
idle,1767714402980,1885,0.077,0.010,0.926,18.397,3.061,0.725,23.21
idle,1767714402980,1900,0.073,0.005,0.931,18.649,2.863,0.771,23.17
idle,1767714402980,1915,0.073,0.017,0.929,18.656,2.916,0.542,23.26
idle,1767714402980,1932,0.075,0.013,0.923,18.626,2.939,0.641,23.12
idle,1767714402980,1947,0.071,0.012,0.936,18.481,2.855,0.687,23.21
idle,1767714402980,1963,0.079,0.013,0.920,18.511,2.977,0.779,23.17
idle,1767714402980,1978,0.075,0.007,0.924,18.603,3.023,0.672,23.17
idle,1767714402980,1993,0.076,0.009,0.929,18.405,3.053,0.595,23.31
idle,1767714402980,2009,0.071,0.012,0.934,18.420,2.977,0.740,23.21
idle,1767714402980,2025,0.072,0.010,0.926,18.504,2.954,0.618,23.17
idle,1767714402980,2040,0.074,0.013,0.927,18.603,3.092,0.634,23.26
idle,1767714402980,2056,0.069,0.011,0.924,18.489,2.924,0.634,23.21
idle,1767714402980,2071,0.075,0.008,0.927,18.473,3.015,0.740,23.17
idle,1767714402980,2086,0.073,0.006,0.938,18.595,3.038,0.718,23.17
idle,1767714402980,2102,0.073,0.010,0.918,18.756,2.840,0.641,23.21
idle,1767714402980,2118,0.072,0.018,0.920,18.473,3.061,0.687,23.21
idle,1767714402980,2134,0.074,0.011,0.931,18.397,2.901,0.527,23.17
idle,1767714402980,2149,0.074,0.011,0.938,18.550,2.855,0.641,23.17
idle,1767714402980,2164,0.071,0.014,0.923,18.550,2.924,0.687,23.21
idle,1767714402980,2180,0.078,0.003,0.928,18.435,2.969,0.588,23.21
idle,1767714402980,2195,0.074,0.011,0.928,18.466,2.817,0.496,23.17
idle,1767714402980,2211,0.070,0.011,0.933,18.443,2.893,0.802,23.17
idle,1767714402980,2227,0.077,0.012,0.924,18.611,3.038,0.695,23.12
idle,1767714402980,2242,0.078,0.010,0.934,18.351,3.038,0.656,23.21
idle,1767714402980,2257,0.073,0.011,0.927,18.542,2.977,0.740,23.17
idle,1767714402980,2273,0.072,0.007,0.931,18.519,3.000,0.603,23.26
idle,1767714402980,2289,0.074,0.005,0.927,18.695,3.099,0.466,23.21
idle,1767714402980,2305,0.071,0.009,0.922,18.649,2.954,0.641,23.26
idle,1767714402980,2320,0.076,0.006,0.933,18.603,2.985,0.634,23.17
idle,1767714402980,2335,0.075,0.009,0.929,18.588,3.015,0.718,23.21
idle,1767714402980,2351,0.068,0.009,0.926,18.534,3.130,0.641,23.26
idle,1767714402980,2366,0.075,0.012,0.936,18.504,3.000,0.702,23.17
idle,1767714402980,2382,0.074,0.010,0.940,18.466,3.061,0.702,23.31
idle,1767714402980,2398,0.070,0.009,0.930,18.573,2.863,0.511,23.17
idle,1767714402980,2413,0.075,0.006,0.936,18.695,2.992,0.725,23.17
idle,1767714402980,2428,0.072,0.008,0.932,18.634,2.931,0.634,23.31
idle,1767714402980,2444,0.075,0.010,0.931,18.473,2.931,0.603,23.21
idle,1767714402980,2459,0.076,0.012,0.933,18.611,2.824,0.695,23.17
idle,1767714402980,2476,0.072,0.008,0.929,18.550,2.824,0.779,23.07
idle,1767714402980,2491,0.072,0.009,0.925,18.481,3.008,0.779,23.21
idle,1767714402980,2506,0.073,0.011,0.935,18.397,3.031,0.603,23.26
idle,1767714402980,2522,0.073,0.013,0.923,18.489,3.023,0.443,23.26
idle,1767714402980,2537,0.069,0.012,0.934,18.580,3.023,0.580,23.21
idle,1767714402980,2552,0.071,0.012,0.933,18.527,2.756,0.756,23.12
idle,1767714402980,2569,0.077,0.008,0.921,18.634,2.626,0.504,23.26
idle,1767714402980,2584,0.076,0.010,0.930,18.580,2.924,0.519,23.07
idle,1767714402980,2599,0.072,0.009,0.933,18.573,3.160,0.611,23.21
idle,1767714402980,2615,0.072,0.010,0.935,18.580,3.092,0.641,23.21
idle,1767714402980,2630,0.078,0.010,0.930,18.542,2.840,0.443,23.26
idle,1767714402980,2646,0.072,0.011,0.920,18.359,3.137,0.550,23.21
idle,1767714402980,2662,0.078,0.007,0.930,18.542,2.786,0.687,23.21
idle,1767714402980,2677,0.075,0.011,0.926,18.466,3.069,0.718,23.17
idle,1767714402980,2693,0.073,0.007,0.926,18.435,2.931,0.626,23.17
idle,1767714402980,2708,0.102,0.011,0.982,19.298,4.542,0.702,23.21
idle,1767714402980,2723,0.074,0.005,0.933,18.344,3.061,0.519,23.21
idle,1767714402980,2739,0.061,0.007,0.939,18.443,3.046,0.786,23.26
idle,1767714402980,2755,0.071,0.011,0.933,18.496,2.885,0.679,23.26
idle,1767714402980,2770,0.075,0.010,0.922,18.565,2.863,0.496,23.21
idle,1767714402980,2786,0.081,0.008,0.927,18.389,3.038,0.527,23.21
