gesture,gesture_num,timestamp,aX,aY,aZ,gX,gY,gZ,temp
swipe_down,1,321,0.080,0.010,0.906,18.649,3.137,0.679,24.34
swipe_down,1,332,0.073,0.011,0.899,18.840,2.885,0.672,24.48
swipe_down,1,343,0.071,0.015,0.909,18.794,2.885,0.580,24.48
swipe_down,1,353,0.070,0.009,0.902,18.931,2.916,0.573,24.44
swipe_down,1,363,0.072,0.012,0.909,18.870,3.008,0.656,24.39
swipe_down,1,374,0.071,0.010,0.912,18.969,2.756,0.710,24.39
swipe_down,1,385,0.068,0.010,0.907,18.855,2.969,0.649,24.44
swipe_down,1,395,0.069,0.014,0.904,18.870,2.878,0.496,24.48
swipe_down,1,405,0.072,0.011,0.904,18.824,2.924,0.542,24.39
swipe_down,1,416,0.072,0.012,0.914,18.977,2.947,0.687,24.34
swipe_down,1,427,0.068,0.013,0.907,18.832,2.916,0.634,24.39
swipe_down,1,437,0.072,0.014,0.904,18.924,3.099,0.695,24.39
swipe_down,1,447,0.068,0.010,0.913,18.893,3.053,0.687,24.44
swipe_down,1,457,0.073,0.008,0.907,19.015,2.931,0.534,24.39
swipe_down,1,468,0.073,0.008,0.910,18.802,3.008,0.580,24.39
swipe_down,1,479,0.077,0.016,0.919,18.893,2.847,0.649,24.44
swipe_down,1,489,0.070,0.018,0.911,18.771,2.824,0.695,24.39
swipe_down,1,499,0.076,0.008,0.910,18.969,2.893,0.702,24.39
swipe_down,1,510,0.087,0.005,0.849,19.107,3.344,0.550,24.34
swipe_down,1,521,0.056,0.068,1.213,17.985,1.718,0.534,24.29
swipe_down,1,531,0.082,-0.028,0.727,18.580,2.672,0.832,24.39
swipe_down,1,541,0.074,0.025,0.927,18.634,2.763,0.573,24.34
swipe_down,1,552,0.068,0.013,0.925,18.855,2.824,0.718,24.34
swipe_down,1,563,0.084,-0.003,0.912,18.992,2.679,0.679,24.48
swipe_down,1,573,0.068,0.025,0.896,18.954,3.053,0.618,24.39
swipe_down,1,583,0.076,0.005,0.932,18.901,2.924,0.664,24.34
swipe_down,1,593,0.069,0.017,0.908,18.794,2.855,0.534,24.44
swipe_down,1,605,0.069,0.015,0.916,18.740,2.893,0.664,24.39
swipe_down,1,615,0.068,0.013,0.916,18.855,2.908,0.649,24.44
swipe_down,1,625,0.070,0.008,0.907,18.794,2.779,0.702,24.44
swipe_down,1,635,0.067,0.009,0.912,19.046,2.939,0.580,24.39
swipe_down,1,647,0.073,0.011,0.918,18.939,2.947,0.618,24.34
swipe_down,1,657,0.067,0.005,0.906,18.847,3.023,0.641,24.39
swipe_down,1,667,0.072,0.018,0.914,18.962,2.985,0.702,24.39
swipe_down,1,677,0.073,0.007,0.902,19.015,3.008,0.466,24.39
swipe_down,1,689,0.078,0.020,0.908,18.931,2.985,0.565,24.44
swipe_down,1,699,0.076,0.014,0.908,18.931,2.824,0.664,24.29
swipe_down,1,709,0.071,0.017,0.904,18.695,2.931,0.702,24.39
swipe_down,1,719,0.072,0.009,0.915,18.618,2.817,0.702,24.44
swipe_down,1,731,0.073,0.008,0.917,18.969,2.740,0.573,24.39
swipe_down,1,741,0.073,0.011,0.904,18.870,2.954,0.809,24.39
swipe_down,1,751,0.071,0.018,0.902,18.802,3.076,0.649,24.44
swipe_down,1,761,0.074,0.010,0.914,18.863,2.855,0.763,24.39
swipe_down,1,772,0.073,0.013,0.907,18.962,2.901,0.641,24.39
swipe_down,1,783,0.074,0.015,0.912,18.809,2.969,0.679,24.44
